externallogid,source,timestamp,timestamp_tzinfo,value
4710,/TM023_4_22_1.-103C/Lon/Net/Rum 1.352/PIR_activity_1.352,2024-01-01 01:53:21,248,0.0
4710,/TM023_4_22_1.-103C/Lon/Net/Rum 1.352/PIR_activity_1.352,2024-01-01 01:52:21,248,0.0
4710,/TM023_4_22_1.-103C/Lon/Net/Rum 1.352/PIR_activity_1.352,2024-01-01 01:51:21,248,0.0
4710,/TM023_4_22_1.-103C/Lon/Net/Rum 1.352/PIR_activity_1.352,2024-01-01 01:50:21,248,0.0
4710,/TM023_4_22_1.-103C/Lon/Net/Rum 1.352/PIR_activity_1.352,2024-01-01 01:49:21,248,0.0
4710,/TM023_4_22_1.-103C/Lon/Net/Rum 1.352/PIR_activity_1.352,2024-01-01 01:48:21,248,0.0
4710,/TM023_4_22_1.-103C/Lon/Net/Rum 1.352/PIR_activity_1.352,2024-01-01 01:47:21,248,0.0
4710,/TM023_4_22_1.-103C/Lon/Net/Rum 1.352/PIR_activity_1.352,2024-01-01 01:46:21,248,0.0
4710,/TM023_4_22_1.-103C/Lon/Net/Rum 1.352/PIR_activity_1.352,2024-01-01 01:45:21,248,0.0
4710,/TM023_4_22_1.-103C/Lon/Net/Rum 1.352/PIR_activity_1.352,2024-01-01 01:44:21,248,0.0
4710,/TM023_4_22_1.-103C/Lon/Net/Rum 1.352/PIR_activity_1.352,2024-01-01 01:43:21,248,0.0
4710,/TM023_4_22_1.-103C/Lon/Net/Rum 1.352/PIR_activity_1.352,2024-01-01 01:42:21,248,0.0
4710,/TM023_4_22_1.-103C/Lon/Net/Rum 1.352/PIR_activity_1.352,2024-01-01 01:41:21,248,0.0
4710,/TM023_4_22_1.-103C/Lon/Net/Rum 1.352/PIR_activity_1.352,2024-01-01 01:40:21,248,0.0
4710,/TM023_4_22_1.-103C/Lon/Net/Rum 1.352/PIR_activity_1.352,2024-01-01 01:39:21,248,0.0
4710,/TM023_4_22_1.-103C/Lon/Net/Rum 1.352/PIR_activity_1.352,2024-01-01 01:38:21,248,0.0
4710,/TM023_4_22_1.-103C/Lon/Net/Rum 1.352/PIR_activity_1.352,2024-01-01 01:37:21,248,0.0
4710,/TM023_4_22_1.-103C/Lon/Net/Rum 1.352/PIR_activity_1.352,2024-01-01 01:36:21,248,0.0
4710,/TM023_4_22_1.-103C/Lon/Net/Rum 1.352/PIR_activity_1.352,2024-01-01 01:35:21,248,0.0
4710,/TM023_4_22_1.-103C/Lon/Net/Rum 1.352/PIR_activity_1.352,2024-01-01 01:34:21,248,0.0
4710,/TM023_4_22_1.-103C/Lon/Net/Rum 1.352/PIR_activity_1.352,2024-01-01 01:33:21,248,0.0
4710,/TM023_4_22_1.-103C/Lon/Net/Rum 1.352/PIR_activity_1.352,2024-01-01 01:32:21,248,0.0
4710,/TM023_4_22_1.-103C/Lon/Net/Rum 1.352/PIR_activity_1.352,2024-01-01 01:31:21,248,0.0
4710,/TM023_4_22_1.-103C/Lon/Net/Rum 1.352/PIR_activity_1.352,2024-01-01 01:30:21,248,0.0
4710,/TM023_4_22_1.-103C/Lon/Net/Rum 1.352/PIR_activity_1.352,2024-01-01 01:29:21,248,0.0
4710,/TM023_4_22_1.-103C/Lon/Net/Rum 1.352/PIR_activity_1.352,2024-01-01 01:28:21,248,0.0
4710,/TM023_4_22_1.-103C/Lon/Net/Rum 1.352/PIR_activity_1.352,2024-01-01 01:27:21,248,0.0
4710,/TM023_4_22_1.-103C/Lon/Net/Rum 1.352/PIR_activity_1.352,2024-01-01 01:26:21,248,0.0
4710,/TM023_4_22_1.-103C/Lon/Net/Rum 1.352/PIR_activity_1.352,2024-01-01 01:25:21,248,0.0
4710,/TM023_4_22_1.-103C/Lon/Net/Rum 1.352/PIR_activity_1.352,2024-01-01 01:24:21,248,0.0
4710,/TM023_4_22_1.-103C/Lon/Net/Rum 1.352/PIR_activity_1.352,2024-01-01 01:23:21,248,0.0
4710,/TM023_4_22_1.-103C/Lon/Net/Rum 1.352/PIR_activity_1.352,2024-01-01 01:22:21,248,0.0
4710,/TM023_4_22_1.-103C/Lon/Net/Rum 1.352/PIR_activity_1.352,2024-01-01 01:21:21,248,0.0
4710,/TM023_4_22_1.-103C/Lon/Net/Rum 1.352/PIR_activity_1.352,2024-01-01 01:20:21,248,0.0
4710,/TM023_4_22_1.-103C/Lon/Net/Rum 1.352/PIR_activity_1.352,2024-01-01 01:19:21,248,0.0
4710,/TM023_4_22_1.-103C/Lon/Net/Rum 1.352/PIR_activity_1.352,2024-01-01 01:18:21,248,0.0
4710,/TM023_4_22_1.-103C/Lon/Net/Rum 1.352/PIR_activity_1.352,2024-01-01 01:17:21,248,0.0
4710,/TM023_4_22_1.-103C/Lon/Net/Rum 1.352/PIR_activity_1.352,2024-01-01 01:16:21,248,0.0
4710,/TM023_4_22_1.-103C/Lon/Net/Rum 1.352/PIR_activity_1.352,2024-01-01 01:15:21,248,0.0
4710,/TM023_4_22_1.-103C/Lon/Net/Rum 1.352/PIR_activity_1.352,2024-01-01 01:14:21,248,0.0
4710,/TM023_4_22_1.-103C/Lon/Net/Rum 1.352/PIR_activity_1.352,2024-01-01 01:13:21,248,0.0
4710,/TM023_4_22_1.-103C/Lon/Net/Rum 1.352/PIR_activity_1.352,2024-01-01 01:12:21,248,0.0
4710,/TM023_4_22_1.-103C/Lon/Net/Rum 1.352/PIR_activity_1.352,2024-01-01 01:11:21,248,0.0
4710,/TM023_4_22_1.-103C/Lon/Net/Rum 1.352/PIR_activity_1.352,2024-01-01 01:10:21,248,0.0
4710,/TM023_4_22_1.-103C/Lon/Net/Rum 1.352/PIR_activity_1.352,2024-01-01 01:09:21,248,0.0
4710,/TM023_4_22_1.-103C/Lon/Net/Rum 1.352/PIR_activity_1.352,2024-01-01 01:08:21,248,0.0
4710,/TM023_4_22_1.-103C/Lon/Net/Rum 1.352/PIR_activity_1.352,2024-01-01 01:07:21,248,0.0
4710,/TM023_4_22_1.-103C/Lon/Net/Rum 1.352/PIR_activity_1.352,2024-01-01 01:06:21,248,0.0
4710,/TM023_4_22_1.-103C/Lon/Net/Rum 1.352/PIR_activity_1.352,2024-01-01 01:05:21,248,0.0
4710,/TM023_4_22_1.-103C/Lon/Net/Rum 1.352/PIR_activity_1.352,2024-01-01 01:04:21,248,0.0
4710,/TM023_4_22_1.-103C/Lon/Net/Rum 1.352/PIR_activity_1.352,2024-01-01 01:03:21,248,0.0
4710,/TM023_4_22_1.-103C/Lon/Net/Rum 1.352/PIR_activity_1.352,2024-01-01 01:02:21,248,0.0
4710,/TM023_4_22_1.-103C/Lon/Net/Rum 1.352/PIR_activity_1.352,2024-01-01 01:01:21,248,0.0
4710,/TM023_4_22_1.-103C/Lon/Net/Rum 1.352/PIR_activity_1.352,2024-01-01 01:00:21,248,0.0
4754,/TM023_4_22_1.-103C/Lon/Net/Rum 1.401/PIR_activity_1.401,2024-01-01 01:59:48,248,0.0
4754,/TM023_4_22_1.-103C/Lon/Net/Rum 1.401/PIR_activity_1.401,2024-01-01 01:58:48,248,0.0
4754,/TM023_4_22_1.-103C/Lon/Net/Rum 1.401/PIR_activity_1.401,2024-01-01 01:57:48,248,0.0
4754,/TM023_4_22_1.-103C/Lon/Net/Rum 1.401/PIR_activity_1.401,2024-01-01 01:56:48,248,0.0
4754,/TM023_4_22_1.-103C/Lon/Net/Rum 1.401/PIR_activity_1.401,2024-01-01 01:55:48,248,0.0
4754,/TM023_4_22_1.-103C/Lon/Net/Rum 1.401/PIR_activity_1.401,2024-01-01 01:54:48,248,0.0
4754,/TM023_4_22_1.-103C/Lon/Net/Rum 1.401/PIR_activity_1.401,2024-01-01 01:53:48,248,0.0
4754,/TM023_4_22_1.-103C/Lon/Net/Rum 1.401/PIR_activity_1.401,2024-01-01 01:52:48,248,0.0
4754,/TM023_4_22_1.-103C/Lon/Net/Rum 1.401/PIR_activity_1.401,2024-01-01 01:51:48,248,0.0
4754,/TM023_4_22_1.-103C/Lon/Net/Rum 1.401/PIR_activity_1.401,2024-01-01 01:50:48,248,0.0
4754,/TM023_4_22_1.-103C/Lon/Net/Rum 1.401/PIR_activity_1.401,2024-01-01 01:49:48,248,0.0
4754,/TM023_4_22_1.-103C/Lon/Net/Rum 1.401/PIR_activity_1.401,2024-01-01 01:48:48,248,0.0
4754,/TM023_4_22_1.-103C/Lon/Net/Rum 1.401/PIR_activity_1.401,2024-01-01 01:47:48,248,0.0
4754,/TM023_4_22_1.-103C/Lon/Net/Rum 1.401/PIR_activity_1.401,2024-01-01 01:46:48,248,0.0
4754,/TM023_4_22_1.-103C/Lon/Net/Rum 1.401/PIR_activity_1.401,2024-01-01 01:45:48,248,0.0
4754,/TM023_4_22_1.-103C/Lon/Net/Rum 1.401/PIR_activity_1.401,2024-01-01 01:44:48,248,0.0
4754,/TM023_4_22_1.-103C/Lon/Net/Rum 1.401/PIR_activity_1.401,2024-01-01 01:43:48,248,0.0
4754,/TM023_4_22_1.-103C/Lon/Net/Rum 1.401/PIR_activity_1.401,2024-01-01 01:42:48,248,0.0
4754,/TM023_4_22_1.-103C/Lon/Net/Rum 1.401/PIR_activity_1.401,2024-01-01 01:41:48,248,0.0
4754,/TM023_4_22_1.-103C/Lon/Net/Rum 1.401/PIR_activity_1.401,2024-01-01 01:40:48,248,0.0
