timestamp,RoomA:Light__level__ceiling,RoomA:Light__manual_on_off_signal,RoomA:People__amount,RoomA:Sensor__CO2,RoomA:Sensor__room_temperature,RoomA:Window__opened_closed,RoomA_is_occupied
2023-04-10 15:30:00,47.19979858,0.0,0.0,425.0,23.29000092,0.0,0
2023-04-10 15:35:00,51.30682755,0.0,0.0,425.0,23.22999954,0.0,0
2023-04-10 15:40:00,52.15129852,0.0,0.0,425.0,23.31999969,0.0,0
2023-04-10 15:45:00,49.1817894,0.0,0.0,425.0,23.20000076,0.0,0
2023-04-10 15:50:00,44.22476959,0.0,0.0,425.0,23.34000015,0.0,0
2023-04-10 15:55:00,40.08021927,0.0,0.0,425.0,23.15999985,0.0,0
2023-04-10 16:00:00,35.67838669,0.0,0.0,425.0,23.22999954,0.0,0
2023-04-10 16:05:00,34.68740082,0.0,0.0,425.0,23.31999969,0.0,0
2023-04-10 16:10:00,32.61374664,0.0,0.0,425.0,23.36000061,0.0,0
2023-04-10 16:15:00,29.50654602,0.0,0.0,425.0,22.98999977,0.0,0
2023-04-10 16:20:00,27.15267563,0.0,0.0,425.0,22.85000038,0.0,0
2023-04-10 16:25:00,24.60122108,0.0,0.0,425.0,22.72999954,0.0,0
2023-04-10 16:30:00,21.84847069,0.0,0.0,425.0,22.75,0.0,0
2023-04-10 16:35:00,19.39925766,0.0,0.0,425.0,22.85000038,0.0,0
2023-04-10 16:40:00,17.47279739,0.0,0.0,425.0,22.72999954,0.0,0
2023-04-10 16:45:00,15.69570446,0.0,0.0,425.0,22.65999985,0.0,0
2023-04-10 16:50:00,14.24779415,0.0,0.0,425.0,22.78000069,0.0,0
2023-04-10 16:55:00,14.10126972,0.0,0.0,425.0,22.85000038,0.0,0
2023-04-10 17:00:00,15.17626095,0.0,0.0,425.0,22.79999924,0.0,0
2023-04-10 17:05:00,17.67130661,0.0,0.0,425.0,22.72999954,0.0,0
2023-04-10 17:10:00,24.64791489,0.0,0.0,425.0,22.75,0.0,0
2023-04-10 17:15:00,43.38191605,0.0,0.0,425.0,22.65999985,0.0,0
2023-04-10 17:20:00,85.72847748,0.0,0.0,425.0,22.68000031,0.0,0
2023-04-10 17:25:00,64.21725464,0.0,0.0,425.0,22.68000031,0.0,0
2023-04-10 17:30:00,48.40324402,0.0,0.0,425.0,22.81999969,0.0,0
2023-04-10 17:35:00,53.80373001,0.0,0.0,425.0,22.79999924,0.0,0
2023-04-10 17:40:00,49.28955841,0.0,0.0,425.0,22.68000031,0.0,0
2023-04-10 17:45:00,38.52584839,0.0,0.0,425.0,22.65999985,0.0,0
2023-04-10 17:50:00,30.94624901,0.0,0.0,425.0,22.68000031,0.0,0
2023-04-10 17:55:00,25.56894112,0.0,0.0,425.0,22.68000031,0.0,0
2023-04-10 18:00:00,21.1534214,0.0,0.0,425.0,22.78000069,0.0,0
2023-04-10 18:05:00,16.57991028,0.0,0.0,425.0,22.75,0.0,0
2023-04-10 18:10:00,12.94231796,0.0,0.0,425.0,22.87000084,0.0,0
2023-04-10 18:15:00,11.21251106,0.0,0.0,425.0,22.85000038,0.0,0
2023-04-10 18:20:00,10.37392139,0.0,0.0,425.0,22.85000038,0.0,0
2023-04-10 18:25:00,9.761936188,0.0,0.0,425.0,22.68000031,0.0,0
2023-04-10 18:30:00,9.435779572,0.0,0.0,425.0,22.78000069,0.0,0
2023-04-10 18:35:00,9.481898308,0.0,0.0,425.0,22.70000076,0.0,0
2023-04-10 18:40:00,9.675003052,0.0,0.0,425.0,22.70000076,0.0,0
2023-04-10 18:45:00,10.31483746,0.0,0.0,425.0,22.78000069,0.0,0
2023-04-10 18:50:00,9.96249485,0.0,0.0,425.0,22.72999954,0.0,0
2023-04-10 18:55:00,9.118678093,0.0,0.0,425.0,22.62999916,0.0,0
2023-04-10 19:00:00,7.611255169,0.0,0.0,425.0,22.57999992,0.0,0
2023-04-10 19:05:00,5.955245018,0.0,0.0,425.0,22.75,0.0,0
2023-04-10 19:10:00,4.788337708,0.0,0.0,425.0,22.68000031,0.0,0
2023-04-10 19:15:00,4.168570042,0.0,1.0,425.0,22.57999992,0.0,0
2023-04-10 19:20:00,3.781184673,0.0,0.0,425.0,22.61000061,0.0,0
2023-04-10 19:25:00,3.159333229,0.0,0.0,425.0,22.51000023,0.0,0
2023-04-10 19:30:00,2.790327549,0.0,0.0,425.0,22.62999916,0.0,0
2023-04-10 19:35:00,2.700915098,0.0,0.0,425.0,22.61000061,0.0,0
2023-04-10 19:40:00,2.489006996,0.0,0.0,425.0,22.55999947,0.0,0
2023-04-10 19:45:00,2.01183033,0.0,0.0,425.0,22.61000061,0.0,0
2023-04-10 19:50:00,1.95133245,0.0,0.0,425.0,22.65999985,0.0,0
2023-04-10 19:55:00,1.922439814,0.0,0.0,425.0,22.72999954,0.0,0
2023-04-10 20:00:00,1.890210509,0.0,0.0,425.0,22.55999947,0.0,0
2023-04-10 20:05:00,1.859321117,0.0,0.0,425.0,22.62999916,0.0,0
2023-04-10 20:10:00,1.933630467,0.0,0.0,425.0,22.61000061,0.0,0
2023-04-10 20:15:00,1.912878871,0.0,0.0,425.0,22.62999916,0.0,0
